Login Date,IP Address,User Agent,Login Type
Tue Feb 18 22:53:29 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Login
Thu Feb 27 08:42:35 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Login
Sun Mar 02 04:50:19 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Login
Sun Mar 02 15:04:22 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Login
Mon Mar 03 06:23:56 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Login
Mon Mar 03 06:24:01 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Login
Sun Mar 30 06:15:50 UTC 2025,98.63.121.0,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/134.0.6998.99 Mobile/15E148 Safari/604.1",Login
Thu Apr 03 06:19:38 UTC 2025,98.63.121.0,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Login
Thu Apr 10 20:35:50 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Login
Fri Apr 11 09:42:10 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0",Login
Mon May 12 21:58:52 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",Login
Tue May 13 15:38:52 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",Login
Tue May 13 17:06:59 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",Login
Tue May 13 18:04:38 UTC 2025,98.63.121.0,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.1083.5 iPhone:18.3.1,Login
Tue May 20 07:32:23 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",Login
Tue Jun 03 15:17:42 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",Login
Tue Jun 03 17:25:22 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",Login
Wed Jun 04 15:45:51 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",Login
Wed Jun 04 16:00:12 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Thu Jun 05 19:28:02 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",Login
Thu Jun 05 22:58:17 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Fri Jun 06 03:28:00 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Fri Jun 06 23:14:29 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Sun Jun 08 18:35:50 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0",Login
Thu Jul 03 18:56:47 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0",Login
Wed Jul 09 16:20:39 UTC 2025,166.182.84.47,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.119 Mobile/15E148 Safari/604.1",Login
Thu Jul 10 20:50:50 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0",Login
Sat Jul 12 19:14:11 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Wed Aug 13 19:24:28 UTC 2025,166.181.85.28,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",Login
Sat Aug 16 00:52:41 UTC 2025,173.21.64.70,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.31.3937",Login
Sat Aug 16 00:53:34 UTC 2025,173.21.64.70,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.3937 iPhone:18.6,Login
Mon Aug 18 20:53:05 UTC 2025,108.160.230.14,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",Login
Tue Aug 19 08:36:35 UTC 2025,173.21.64.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",Login
Wed Aug 20 08:27:38 UTC 2025,173.21.64.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",Login
Tue Aug 26 23:28:37 UTC 2025,2604:2d80:d787:8100:6446:a03e:a620:80f4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",Login
Fri Aug 29 00:45:55 UTC 2025,2604:2d80:d787:8100:3817:b1a2:1c09:e9b9,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.31.4495.8",Login
Fri Aug 29 00:53:17 UTC 2025,2604:2d80:d787:8100:3817:b1a2:1c09:e9b9,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.4495.8 iPhone:18.6,Login
Fri Aug 29 01:02:30 UTC 2025,2604:2d80:d787:8100:78e2:674e:4376:981a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",Login
Fri Aug 29 01:02:32 UTC 2025,2604:2d80:d787:8100:78e2:674e:4376:981a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",Login
Tue Sep 09 18:03:34 UTC 2025,2604:2d80:d787:8100:bd28:6d7f:3991:fa5b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Login
Thu Sep 11 17:06:37 UTC 2025,2604:2d80:d787:8100:dd77:3be8:4fa9:2ac1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Login
Thu Sep 11 23:30:41 UTC 2025,2604:2d80:d787:8100:dd77:3be8:4fa9:2ac1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Login
Mon Sep 22 19:46:06 UTC 2025,108.160.230.14,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",Login
Thu Oct 02 01:42:15 UTC 2025,173.21.64.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Login
Thu Oct 02 23:20:09 UTC 2025,173.21.64.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Login
Mon Oct 06 21:12:19 UTC 2025,173.21.64.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Login
Fri Oct 10 14:28:22 UTC 2025,166.181.242.4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Login
Fri Oct 10 14:28:24 UTC 2025,166.181.242.4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Login
Sat Oct 11 22:24:06 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Login
Tue Oct 14 19:05:26 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Login
Tue Oct 14 23:00:26 UTC 2025,98.63.121.0,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",Login
Thu Oct 16 22:45:06 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Login
Wed Oct 22 15:54:57 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Login
Tue Oct 28 21:15:10 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Login
Tue Dec 30 22:15:55 UTC 2025,207.237.237.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Login
Fri Jan 09 23:26:01 UTC 2026,207.237.237.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Login
Sat Jan 10 19:30:17 UTC 2026,207.237.237.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Login
Wed Jan 21 17:27:19 UTC 2026,207.237.237.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Login
Thu Jan 22 07:51:36 UTC 2026,207.237.237.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Login
Tue Feb 24 23:36:48 UTC 2026,207.237.237.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",Login
Wed Feb 25 20:42:31 UTC 2026,162.229.151.33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",Login
Fri Feb 27 02:57:12 UTC 2026,207.237.237.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Login
Thu Mar 12 10:56:31 UTC 2026,207.237.237.148,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",Login
Mon Mar 16 18:17:46 UTC 2026,207.237.237.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",Login
Wed Mar 18 16:21:44 UTC 2026,207.237.237.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Login
Thu Mar 26 22:51:47 UTC 2026,207.237.237.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",Login
Tue Apr 07 17:10:02 UTC 2026,108.160.230.14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3.1 Safari/605.1.15",Login
Wed May 06 23:47:57 UTC 2026,207.237.237.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3.1 Safari/605.1.15",Login
Thu May 21 00:20:29 UTC 2026,207.237.237.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Login
Thu May 28 17:17:41 UTC 2026,207.237.237.148,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.32.959 iPhone:26.2,Login
Wed Jul 22 10:02:54 UTC 2026,207.237.237.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Login
Mon Jul 27 05:07:55 UTC 2026,207.237.237.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Login
Mon Aug 17 16:47:10 UTC 2026,207.237.237.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",Login
Wed Aug 26 13:39:53 UTC 2026,207.237.237.148,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",Login
